,old,new
201401,100.0,100.0
201402,81.22923310068037,86.94098424425844
201403,92.2143586548759,91.0744871995859
201404,105.70929228013532,82.95422870777897
201405,105.20213281028107,78.09003244784073
201406,111.95954994931678,91.40749016011003
201407,118.63631178002359,99.51787084948599
201408,125.98354363242693,109.87277771904297
201409,112.95396377859008,98.88499513826385
201410,100.53159112907055,85.25707932319123
201411,104.2296290973218,91.83057249144183
201412,107.43465158211075,99.55307139876601
201501,105.7411302255053,111.24901267952785
201502,84.80119831515397,93.55782782175811
201503,84.31071968461535,92.09670871353434
201504,103.71979463998349,91.48231593301567
201505,106.35479115436804,87.88066882217808
201506,114.28123426780063,96.99913590083703
201507,121.8004569105711,105.47248459967858
201508,128.31851372939062,120.57323577902208
201509,114.87078845160895,107.44294600052856
201510,101.89821034005084,92.30988660025822
201511,106.85430140488731,97.0205924427302
201512,106.03722927524814,112.59544336010369
201601,105.57573888686944,120.74134086875354
201602,85.31574644151608,106.18964837705798
201603,93.53609577898699,102.79896976843044
201604,109.75252267536355,97.86807674679184
201605,111.75556359111394,94.4719463923281
201606,116.57505671338451,105.87885246051829
201607,124.22444037014054,121.28501224425776
201608,129.85744698918688,137.70241686223204
201609,118.30550705893003,122.77980777041238
201610,108.73124533395524,102.38682596466516
201611,113.27369185862948,105.60778300962275
201612,112.17854375483951,114.75420532322936
201701,107.20120022924043,123.28587536088259
201702,96.38841448212176,114.60309517567588
201703,103.25273781382421,111.0116672177207
201704,115.3840391538936,107.62145194505436
201705,116.78977667794672,101.88748806094151
201706,126.63329291851663,116.21306072682617
201707,137.4477229432598,138.73055379666894
201708,142.92822462060062,153.9306870543902
201709,125.79678691501282,134.65011125210017
201710,115.87426500408017,114.39571214405242
201711,119.02683588807646,116.55246593278859
201712,121.93628526336187,128.35175056320418
201801,127.65855865016796,164.18813077774882
201802,106.31886596243653,146.96336842721766
201803,100.62791684247262,132.01404133521825
201804,122.85737728930624,130.87414019861802
201805,125.76530283452742,130.11576943082014
201806,132.1612944460272,145.5354324648025
201807,142.24315533311113,168.36974914173837
201808,153.50433077155455,189.8468302763313
201809,137.96120015285584,173.1743630686676
201810,123.00363994237925,141.9482868436224
201811,125.1445652455652,139.9843341531658
201812,124.59923473432342,157.80861093718897
201901,133.06984951659902,183.37422768727177
201902,109.65376642027546,161.84481812699934
201903,109.29615220441254,146.42148175716284
