,17_ser_num,inds_name2011,2011,17_ser_num,inds_name2012,2012,17_ser_num,inds_name2013,2013,17_ser_num,inds_name2014,2014,17_ser_num,inds_name2015,2015,17_ser_num,inds_name2016,2016,17_ser_num,inds_name2017,2017,17_ser_num,inds_name2018,2018
0,49,非金属矿物制品业,268428503,49,非金属矿物制品业,309895111,49,非金属矿物制品业,354426306,49,非金属矿物制品业,406251452,49,非金属矿物制品业,361819352,49,非金属矿物制品业,363401562,49,非金属矿物制品业,418856363,49,13 非金属矿物制品业,514573508
1,39,化学原料及化学制品制造业,245329962,39,化学原料及化学制品制造业,265607563,31,纺织业（轻）,255840335,31,纺织业（轻）,257369092,47,橡胶和塑料制品业,264586015,47,橡胶和塑料制品业,282315572,47, 橡胶和塑料制品业,315173965,47,12 橡胶和塑料制品业,359154875
2,47,橡胶和塑料制品业,164490791,31,纺织业（轻）,193934494,39,化学原料及化学制品制造业,241146756,47,橡胶和塑料制品业,238787774,31,纺织业（轻）,206308725,31,纺织业（轻）,229122782,31,纺织业（轻）,270710199,58,16 金属制品业,342272392
3,65,工艺品及其他制造业（轻）,148912927,47,橡胶和塑料制品业,188895251,47,橡胶和塑料制品业,207044102,39,化学原料及化学制品制造业,155293511,39,化学原料及化学制品制造业,132499196,39,化学原料及化学制品制造业,158589420,39,化学原料及化学制品制造业,162587773,31,2 纺织业（轻）,257226764
4,31,纺织业（轻）,139244198,35,造纸及纸制品业（轻）,103092233,33,木材加工及制品和家具制造业,121768689,65,工艺品及其他制造业（轻）,149103634,33,木材加工及制品和家具制造业,121485380,33,木材加工及制品和家具制造业,135340191,33,木材加工及制品和家具制造业,151779305,39,9 化学原料及化学制品制造业,233791492
5,33,木材加工及制品和家具制造业,102300420,33,木材加工及制品和家具制造业,101068189,35,造纸及纸制品业（轻）,110157520,33,木材加工及制品和家具制造业,133335953,65,工艺品及其他制造业（轻）,121322764,65,工艺品及其他制造业（轻）,86574727,65,工艺品及其他制造业（轻）,120572839,33,4 木材加工及制品和家具制造业,159506831
6,35,造纸及纸制品业（轻）,78788308,25,有色金属矿采选业,82367214,65,工艺品及其他制造业（轻）,107953401,35,造纸及纸制品业（轻）,119916041,35,造纸及纸制品业（轻）,90142855,35,造纸及纸制品业（轻）,85725341,35,造纸及纸制品业（轻）,115444037,65,19 工艺品及其他制造业（轻）,149225749
7,25,有色金属矿采选业,63609406,65,工艺品及其他制造业（轻）,74169778,25,有色金属矿采选业,83190323,25,有色金属矿采选业,83614931,25,有色金属矿采选业,69685859,58,金属制品业,73973144,73,水的生产和供应业,70036749,35,5 造纸及纸制品业（轻）,122616947
8,73,水的生产和供应业,32422149,73,水的生产和供应业,38424121,26,非金属矿采选业,46142236,26,非金属矿采选业,57818559,26,非金属矿采选业,60450574,73,水的生产和供应业,64950372,25,有色金属矿采选业,68243856,73,3 水的生产和供应业,81038650
9,26,非金属矿采选业,30851282,26,非金属矿采选业,36560931,73,水的生产和供应业,44416712,73,水的生产和供应业,50438101,58,金属制品业,57561113,25,有色金属矿采选业,64025036,58,金属制品业,67106833,32,3 服装鞋帽皮革羽绒及其制品业（轻）,72459583
